Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
980645,Dollar Tree 310,1355 NW 23rd Ave,,Gainesville,FL,32605,3014,ALACHUA,Other,29.673944,-82.339661,,,-9166009.134610768,3461706.860368735
983425,Family Dollar Store 8396,520 N University Ave,,Archer,FL,32618,5658,ALACHUA,Other,29.535961,-82.519157,,,-9185990.537930196,3444040.330965905
995716,Dollar General 12647,1080 NE 16th Ave,,Gainesville,FL,32601,4557,ALACHUA,Other,29.666599,-82.312317,,,-9162965.214454515,3460765.8401022498
1025046,Fast Track Foods 200,3960 SW Archer Rd,Suiet A,Gainesville,FL,32608,    ,ALACHUA,Convenience Store,29.618984,-82.383125,,,-9170847.524958607,3454667.2087014336
1027807,Dollar Tree 6522,1723 S Main St,,Gainesville,FL,32601,8696,ALACHUA,Other,29.63489,-82.327728,,,-9164680.759127129,3456704.162558238
1031638,Healthy Living 4 U,179 S Lawrence Blvd,,Keystone Heights,FL,32656,9216,CLAY,Convenience Store,29.784748,-82.03112,,,-9131662.507601919,3475911.104634968
1031982,CVS Pharmacy 7178,1621 SW 13th St,,Gainesville,FL,32608,1524,ALACHUA,Other,29.63545,-82.339233,,,-9165961.489868708,3456775.8831283893
1035810,Frog Song Organics,4317 NE US Highway 301,,Hawthorne,FL,32640,2863,ALACHUA,Farmers and Markets,29.692869,-82.128868,,,-9142543.76518798,3464131.7937009674
1036930,Dollar General 13291,4133 SW 34th St,,Gainesville,FL,32608,2515,ALACHUA,Other,29.614784,-82.371986,,,-9169607.53715066,3454129.402043059
1037999,Sunoco 2527 2527,6800 W Newberry Rd,,Gainesville,FL,32605,4315,ALACHUA,Convenience Store,29.659767,-82.415115,,,-9174408.635469083,3459890.605601663
1050175,Family Dollar 8950,508 NE 23rd Ave,,Gainesville,FL,32609,3637,ALACHUA,Other,29.673929,-82.319756,,,-9163793.320146525,3461704.938541858
1053989,Westcoast Seafood,510 NE Waldo Rd,,Gainesville,FL,32641,5624,ALACHUA,Grocery Store,29.655952,-82.308891,,,-9162583.833879057,3459401.899080983
1057902,Food Max Food Store ,404 S Main St,,Gainesville,FL,32601,6722,ALACHUA,Convenience Store,29.648087,-82.325386,,,-9164420.048879692,3458394.440695946
1061997,University Chevron,1024 W University Ave,,Gainesville,FL,32601,5112,ALACHUA,Convenience Store,29.652397,-82.33577,,,-9165575.99047209,3458946.5155786825
1071606,The Fresh Market 082,4120 NW 16th Blvd,,Gainesville,FL,32605,3506,ALACHUA,Supermarket,29.673656,-82.387863,,,-9171374.956705984,3461669.9613427753
1077207,Trader Joe's 764,3728 SW Archer Rd,,Gainesville,FL,32608,2338,ALACHUA,Supermarket,29.621288,-82.379074,,,-9170396.569701403,3454962.243588078
1096839,DOLLAR GENERAL 14096,101 S County Road 21,,Hawthorne,FL,32640,5909,PUTNAM,Other,29.614149,-81.978165,,,-9125767.583966963,3454048.092748491
1102113,Flowers Bakery Outlet 1025,4115 NW 53rd Ave,,Gainesville,FL,32653,4404,ALACHUA,Specialty Store,29.702797,-82.387161,,,-9171296.810423449,3465404.0893152757
1119245,Kwik Stop,4919 NW 34th Blvd,,Gainesville,FL,32605,1148,ALACHUA,Convenience Store,29.700083,-82.369827,,,-9169367.198370038,3465056.2715994297
1120099,Family Dollar Store 10146,229 E Wade St,,Trenton,FL,32693,3267,GILCHRIST,Other,29.613434,-82.816864,,,-9219131.129575789,3453956.5403763377
1129423,Dollar General 14702,12480 NW County Road 237,,Alachua,FL,32615,6568,ALACHUA,Other,29.769289,-82.421364,,,-9175104.27096705,3473928.434170694
